UBIGEO_HECHO,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,COMISARIA,COD_CPNP_LOCAL,LAT,LONG,DEPTO_COMISARIA,PROV_COMISARIA,DIST_COMISARIA,ES_PRINCIPAL,SECTORES
010202,AMAZONAS,BAGUA,ARAMANGO,CPNP ARAMANGO,1525,-5.41552786,-78.43845434,AMAZONAS,BAGUA,ARAMANGO,True,2
010202,AMAZONAS,BAGUA,ARAMANGO,CPNP EL MUYO,1526,-5.42286444,-78.45216589,AMAZONAS,BAGUA,ARAMANGO,False,2
010201,AMAZONAS,BAGUA,BAGUA,CPNP BAGUA,1515,-5.63892802,-78.53108771,AMAZONAS,BAGUA,BAGUA,True,4
010203,AMAZONAS,BAGUA,COPALLIN,CPNP COPALLIN,1523,-5.67509296,-78.42387236,AMAZONAS,BAGUA,COPALLIN,True,3
010205,AMAZONAS,BAGUA,IMAZA,CPNP CHIRIACO,1521,-5.16250168,-78.28710647,AMAZONAS,BAGUA,IMAZA,True,3
010205,AMAZONAS,BAGUA,IMAZA,CPNP IMACITA,1522,-5.05857886,-78.33201262,AMAZONAS,BAGUA,IMAZA,False,3
010206,AMAZONAS,BAGUA,LA PECA,CPNP LA PECA,1518,-5.61252512,-78.43760201,AMAZONAS,BAGUA,LA PECA,True,3
010302,AMAZONAS,BONGARA,CHISQUILLA,CPNP JUMBILLA,1465,-5.90337712,-77.79884048,AMAZONAS,BONGARA,CHISQUILLA,True,5
010305,AMAZONAS,BONGARA,CUISPES,CPNP JAZAN,1462,-5.9432186,-77.97817037,AMAZONAS,BONGARA,CUISPES,True,4
010306,AMAZONAS,BONGARA,FLORIDA,CPNP POMACOCHAS,1468,-5.82476139,-77.97147407,AMAZONAS,BONGARA,FLORIDA,True,2
010307,AMAZONAS,BONGARA,JAZAN,CPNP JAZAN,1462,-5.9432186,-77.97817037,AMAZONAS,BONGARA,JAZAN,True,4
010301,AMAZONAS,BONGARA,JUMBILLA,CPNP JUMBILLA,1465,-5.90337712,-77.79884048,AMAZONAS,BONGARA,JUMBILLA,True,5
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,CPNP BUENOS AIRES,1448,-5.73817003,-77.90666952,AMAZONAS,BONGARA,YAMBRASBAMBA,True,3
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CPNP CHACHAPOYAS,1410,-6.22990258,-77.87494524,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,True,4
010104,AMAZONAS,CHACHAPOYAS,CHETO,CPNP PIPUS,1416,-6.22904092,-77.73290772,AMAZONAS,CHACHAPOYAS,CHETO,True,5
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CPNP CHUQUIBAMBA,1437,-6.93554118,-77.85428867,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,True,3
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,CPNP CHACHAPOYAS,1410,-6.22990258,-77.87494524,AMAZONAS,CHACHAPOYAS,HUANCAS,True,4
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,CPNP LEYMEBAMBA,1425,-6.70773171,-77.80345723,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,True,4
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,CPNP DURAZNOPAMPA,1428,-6.5934858,-77.80998696,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,True,3
